 CloudCover,Date,Events,Max Dew PointF,Max Gust SpeedMPH,Max Humidity,Max Sea Level PressureIn,Max TemperatureF,Max VisibilityMiles,Max Wind SpeedMPH,Mean Dew PointF,Mean Humidity,Mean Sea Level PressureIn,Mean TemperatureF,Mean VisibilityMiles,Mean Wind SpeedMPH,Min DewpointF,Min Humidity,Min Sea Level PressureIn,Min TemperatureF,Min VisibilityMiles,PrecipitationIn,WindDirDegrees
8,2013-1-1,Snow,30,,100,30.1,32,10,10,27,89,30.01,28,6,8,16,77,29.94,21,2,0.0,277
4,2013-1-2,,14,,77,30.27,25,10,14,12,67,30.18,21,10,5,10,55,30.08,17,10,0.0,272
3,2013-1-3,,19,26.0,77,30.25,32,10,17,15,67,30.21,24,10,8,9,56,30.16,16,10,0.0,229
4,2013-1-4,,21,32.0,75,30.28,30,10,23,19,68,30.21,28,10,16,17,59,30.12,27,6,0.0,250
5,2013-1-5,,23,23.0,75,30.42,34,10,16,20,68,30.3,30,10,10,16,61,30.17,25,10,0.21,221
8,2013-1-6,Snow,31,22.0,87,30.22,37,10,14,28,75,30.09,34,10,9,23,65,30.0,32,8,0.26,232
5,2013-1-7,,27,,86,30.48,33,10,10,24,78,30.37,29,7,8,21,65,30.18,25,4,0.06,236
0,2013-1-8,,29,,100,30.39,43,10,12,24,75,30.33,31,8,7,19,51,30.24,19,2,0.0,178
3,2013-1-9,Rain,39,25.0,89,30.5,45,10,18,32,76,30.31,36,10,11,25,65,30.21,28,5,0.03,211
0,2013-1-10,,29,,85,30.63,41,10,10,27,69,30.51,34,10,6,25,53,30.31,30,8,0.0,72
6,2013-1-11,Fog-Rain,52,,100,30.29,53,10,9,44,86,30.05,47,7,7,26,51,29.96,41,0,0.15,160
6,2013-1-12,Fog-Rain,56,18.0,100,30.09,62,10,10,52,94,30.03,55,5,7,48,72,29.96,48,0,0.02,181
4,2013-1-13,Rain,56,26.0,100,29.95,68,10,21,53,77,29.9,62,9,9,51,61,29.86,55,4,0.16,190
5,2013-1-14,Rain,55,32.0,94,30.39,57,10,22,34,79,30.18,44,10,9,23,60,29.9,30,3,0.03,317
4,2013-1-15,Rain-Snow,30,,96,30.41,33,10,9,24,79,30.24,30,8,5,21,69,30.04,26,1,0.0,360
7,2013-1-16,Fog-Rain,32,21.0,100,30.06,34,10,14,31,94,29.96,32,3,3,28,85,29.87,30,0,0.2,270
5,2013-1-17,Snow,28,20.0,93,30.2,33,10,15,27,82,30.12,32,8,9,26,75,30.03,30,2,0.04,251
3,2013-1-18,Fog-Snow,22,29.0,86,30.52,30,10,21,14,62,30.37,24,8,12,5,47,30.2,19,0,0.03,284
1,2013-1-19,,21,39.0,48,30.26,52,10,24,16,34,30.07,42,10,15,11,24,29.82,32,10,0.05,204
2,2013-1-20,,29,34.0,60,30.15,46,10,23,17,50,29.99,35,10,16,10,40,29.79,24,10,0.0,277
7,2013-1-21,Fog-Snow,19,32.0,93,30.12,25,10,21,12,69,29.99,18,7,9,-1,52,29.88,12,0,0.0,267
