Date,AAPL,CSCO,IBM,MSFT
2013-01-31,497.822381,20.699524,197.271905,27.236667
2013-02-28,456.808953,20.988947,200.735788,27.704211
2013-03-31,441.840998,21.335,210.978001,28.141
2013-04-30,419.764998,20.914545,204.733636,29.870909
2013-05-31,446.45273,22.386364,205.263639,33.950909
2013-06-30,425.537999,24.3755,200.85,34.6325
2013-07-31,429.157272,25.378636,194.354546,33.650454
2013-08-31,484.843635,24.948636,187.125,32.485
2013-09-30,480.184499,24.08,188.767,32.5235
2013-10-31,504.744783,22.847391,180.710002,34.382174
2013-11-30,524.616499,22.204,181.333502,37.3625
2013-12-31,559.657613,21.257619,179.114763,37.455715
